,Time,Value,Alert
0,820481555.527,156.833,0.0
1,820481560.533999,156.35,0.0
2,820481565.539,155.85,0.0
3,820481570.545,155.35,0.0
4,820481575.546999,154.814,0.0
5,820481580.553,154.306,0.0
6,820481585.562999,153.781,0.0
7,820481590.566,153.27,0.0
8,820481595.571999,152.759,0.0
9,820481600.573,152.243,0.0
10,820481605.577999,151.751,0.0
11,820481610.585999,151.265,0.0
12,820481615.591,150.779,0.0
13,820481620.597,150.279,0.0
14,820481625.598999,149.813,0.0
15,820481630.6,149.346,0.0
16,820481635.603999,148.885,0.0
17,820481640.606,148.451,0.0
18,820481645.610999,148.012,0.0
19,820481650.612999,147.542,0.0
20,820481655.621999,147.128,0.0
21,820481660.623999,146.697,0.0
22,820481665.625,146.285,0.0
23,820481670.634,145.863,0.0
24,820481675.634999,145.454,0.0
25,820481680.643999,145.045,0.0
26,820481685.651,144.636,0.0
27,820481690.655,144.258,0.0
28,820481695.661999,143.874,0.0
29,820481700.668,143.49,0.0
30,820481705.668999,143.09,0.0
31,820481710.672,142.717,0.0
32,820481715.679,142.358,0.0
33,820481720.682999,142.007,0.0
34,820481725.690999,141.623,0.0
35,820481730.693999,141.264,0.0
36,820481735.7,140.913,0.0
37,820481740.706,140.546,0.0
38,820481745.712,140.22,0.0
39,820481750.719999,139.836,0.0
40,820481755.726999,139.54,0.0
41,820481760.73,139.195,0.0
42,820481765.738,138.872,0.0
43,820481770.742,138.546,0.0
44,820481775.744999,138.22,0.0
45,820481780.748999,137.902,0.0
46,820481785.75,137.579,0.0
47,820481790.76,137.251,0.0
48,820481795.759999,136.933,0.0
49,820481800.762,136.627,0.0
50,820481805.771999,136.32,0.0
51,820481810.774999,135.985,0.0
52,820481815.780999,135.719,0.0
53,820481820.782,135.404,0.0
54,820481825.783,135.102,0.0
55,820481830.784,134.795,0.0
56,820481835.785,134.509,0.0
57,820481840.785,134.221,0.0
58,820481845.786999,133.93,0.0
59,820481850.786999,133.634,0.0
60,820481855.787999,133.352,0.0
61,820481860.789,133.096,0.0
62,820481865.789,132.814,0.0
63,820481870.790999,132.526,0.0
64,820481875.792,132.262,0.0
65,820481880.792,131.977,0.0
66,820481885.793,131.719,0.0
67,820481890.792999,131.45,0.0
68,820481895.794,131.168,0.0
69,820481900.795,130.923,0.0
70,820481905.795,130.66,0.0
71,820481910.795999,130.419,0.0
72,820481915.796999,130.15,0.0
73,820481920.798,129.9,0.0
74,820481925.798999,129.65,0.0
75,820481930.798999,129.387,0.0
76,820481935.799999,129.165,0.0
77,820481940.8,128.912,0.0
78,820481945.802999,128.668,0.0
79,820481950.804,128.408,0.0
80,820481955.805999,128.15,0.0
81,820481960.807999,127.933,0.0
82,820481965.809,127.68,0.0
83,820481970.809999,127.439,0.0
84,820481975.811,127.193,0.0
85,820481980.811999,126.976,0.0
86,820481985.813,126.759,0.0
87,820481990.814,126.509,0.0
88,820481995.814,126.276,0.0
89,820482000.815,126.048,0.0
90,820482005.817,125.79,0.0
91,820482010.817999,125.56,0.0
92,820482015.82,125.332,0.0
93,820482020.821,125.121,0.0
94,820482025.821999,124.896,0.0
95,820482030.824,124.682,0.0
96,820482035.826,124.449,0.0
97,820482040.829,124.22,0.0
98,820482045.832,124.01,0.0
99,820482050.835,123.785,0.0
100,820482055.838,123.565,0.0
101,820482060.841,123.352,0.0
102,820482065.846,123.137,0.0
103,820482070.853999,122.927,0.0
104,820482075.855999,122.707,0.0
105,820482080.858,122.519,0.0
106,820482085.859999,122.297,0.0
107,820482090.861,122.079,0.0
108,820482095.862,121.897,0.0
109,820482100.862999,121.671,0.0
110,820482105.863999,121.462,0.0
111,820482110.865,121.285,0.0
112,820482115.865999,121.078,0.0
113,820482120.866,120.882,0.0
114,820482125.867,120.672,0.0
115,820482130.867,120.467,0.0
116,820482135.868,120.297,0.0
117,820482140.870999,120.078,0.0
118,820482145.870999,119.863,0.0
119,820482150.871999,119.686,0.0
120,820482155.874,119.482,0.0
121,820482160.875999,119.286,0.0
122,820482165.878,119.085,0.0
123,820482170.878,118.892,0.0
124,820482175.881,118.667,0.0
125,820482180.883,118.479,0.0
126,820482185.891,118.317,0.0
127,820482190.891999,118.106,0.0
128,820482195.893,117.937,0.0
129,820482200.893999,117.737,0.0
130,820482205.896,117.57,0.0
131,820482210.897999,117.377,0.0
132,820482215.899999,117.158,0.0
133,820482220.901,116.959,0.0
134,820482225.905,116.796,0.0
135,820482230.905999,116.594,0.0
136,820482235.905999,116.415,0.0
137,820482240.908,116.241,0.0
138,820482245.91,116.069,0.0
139,820482250.91,115.881,0.0
140,820482255.910999,115.698,0.0
141,820482260.911999,115.524,0.0
142,820482265.911999,115.346,0.0
143,820482270.914,115.151,0.0
144,820482275.914,115.018,0.0
145,820482280.914999,114.832,0.0
146,820482285.915999,114.655,0.0
147,820482290.917,114.482,0.0
148,820482295.917,114.293,0.0
149,820482300.918,114.14,0.0
150,820482305.918999,113.953,0.0
151,820482310.919999,113.772,0.0
152,820482315.920999,113.606,0.0
153,820482320.920999,113.416,0.0
154,820482325.922,113.264,0.0
155,820482330.922999,113.061,0.0
156,820482335.923999,112.919,0.0
157,820482340.926,112.722,0.0
158,820482345.926,112.575,0.0
159,820482350.926999,112.408,0.0
160,820482355.930999,112.23,0.0
161,820482360.932,112.084,0.0
162,820482365.934,111.902,0.0
163,820482370.933999,111.735,0.0
164,820482375.935,111.558,0.0
165,820482380.936,111.404,0.0
166,820482385.937999,111.271,0.0
167,820482390.939,111.069,0.0
168,820482395.939999,110.906,0.0
169,820482400.941,110.75,0.0
170,820482405.941,110.607,0.0
171,820482410.942,110.425,0.0
172,820482415.942999,110.276,0.0
173,820482420.944,110.104,0.0
174,820482425.945,109.939,0.0
175,820482430.945999,109.793,0.0
176,820482435.946999,109.619,0.0
177,820482440.948,109.46,0.0
178,820482445.949,109.311,0.0
179,820482450.949,109.148,0.0
180,820482455.95,108.989,0.0
181,820482460.951,108.832,0.0
182,820482465.951999,108.688,0.0
183,820482470.954,108.52,0.0
184,820482475.954,108.367,0.0
185,820482480.955,108.234,0.0
186,820482485.956,108.089,0.0
187,820482490.957,107.946,0.0
