,Time,Value,Alert
0,820467912.294999,66.272,0.0
1,820467922.315999,65.92,0.0
2,820467923.945,65.875,0.0
3,820467932.32,65.607,0.0
4,820467933.878999,65.58,0.0
5,820467940.692999,65.341,0.0
6,820467942.252,65.306,0.0
7,820467947.505,65.062,0.0
8,820467949.064,65.038,0.0
9,820467952.759,64.875,0.0
10,820467954.317,64.819,0.0
11,820467956.456,64.757,0.0
12,820467958.015,64.714,0.0
13,820467959.575,64.671,0.0
14,820467961.133,64.628,0.0
15,820467962.692,64.572,0.0
16,820467964.25,64.537,0.0
17,820467965.809,64.467,0.0
