,Time,Value,Alert
0,820467912.784,65.369,0.0
1,820467922.804999,65.115,0.0
2,820467924.434,65.084,0.0
3,820467932.81,64.875,0.0
4,820467934.368,64.833,0.0
5,820467941.182,64.672,0.0
6,820467942.740999,64.631,0.0
7,820467947.994999,64.48,0.0
8,820467949.552999,64.424,0.0
9,820467953.247999,64.292,0.0
10,820467954.805999,64.257,0.0
11,820467956.945,64.219,0.0
12,820467958.503999,64.181,0.0
13,820467960.064,64.146,0.0
14,820467961.622,64.108,0.0
15,820467963.181,64.085,0.0
16,820467964.74,64.039,0.0
17,820467966.298,64.008,0.0
