,Time,Value,Alert
0,820472343.992,210.81,0.0
1,820472353.994999,210.921,0.0
2,820472363.995999,211.039,0.0
3,820472373.996999,211.17,0.0
4,820472383.997999,211.284,0.0
5,820472394.0,211.411,0.0
6,820472404.009999,211.538,0.0
7,820472414.012999,211.645,0.0
8,820472424.015999,211.78,0.0
9,820472434.018,211.898,0.0
10,820472444.018999,211.989,0.0
11,820472454.021,212.107,0.0
12,820472464.022999,212.236,0.0
13,820472474.032999,212.37,0.0
14,820472484.042999,212.477,0.0
15,820472494.045,212.595,0.0
16,820472504.045999,212.716,0.0
17,820472514.046999,212.857,0.0
18,820472524.048,212.996,0.0
19,820472534.048999,213.107,0.0
20,820472544.05,213.26,0.0
21,820472554.051,213.399,0.0
22,820472564.052999,213.559,0.0
23,820472574.054,213.706,0.0
24,820472584.054999,213.845,0.0
25,820472594.055999,213.986,0.0
26,820472604.056999,214.11,0.0
27,820472614.057,214.229,0.0
28,820472624.058999,214.363,0.0
29,820472634.06,214.478,0.0
30,820472644.062,214.622,0.0
31,820472654.061999,214.739,0.0
32,820472664.064,214.867,0.0
33,820472674.067,214.962,0.0
34,820472684.067,215.074,0.0
35,820472694.069,215.203,0.0
36,820472704.070999,215.319,0.0
37,820472714.071999,215.431,0.0
38,820472724.074999,215.534,0.0
39,820472734.076999,215.636,0.0
40,820472744.078,215.76,0.0
41,820472754.079,215.859,0.0
42,820472764.08,215.975,0.0
43,820472774.082,216.071,0.0
44,820472784.082999,216.158,0.0
45,820472794.087,216.291,0.0
46,820472804.09,216.397,0.0
47,820472814.091,216.511,0.0
48,820472824.094,216.608,0.0
49,820472834.096,216.718,0.0
50,820472844.096,216.837,0.0
51,820472854.098999,216.953,0.0
52,820472864.1,217.072,0.0
53,820472874.100999,217.162,0.0
54,820472884.100999,217.257,0.0
55,820472894.102,217.37,0.0
56,820472904.103999,217.488,0.0
57,820472914.103999,217.599,0.0
58,820472924.106,217.716,0.0
59,820472934.106,217.84,0.0
60,820472944.107,217.968,0.0
61,820472954.106999,218.089,0.0
62,820472964.109,218.193,0.0
63,820472974.109999,218.293,0.0
64,820472984.112,218.382,0.0
65,820472994.112999,218.49,0.0
66,820473004.113,218.599,0.0
67,820473014.114,218.691,0.0
68,820473024.117,218.779,0.0
69,820473034.118,218.884,0.0
70,820473044.121,218.962,0.0
71,820473054.121,219.065,0.0
72,820473064.123,219.167,0.0
73,820473074.125999,219.249,0.0
74,820473084.126,219.328,0.0
75,820473094.131,219.422,0.0
76,820473104.131999,219.505,0.0
77,820473114.133,219.576,0.0
78,820473124.134,219.673,0.0
79,820473134.135999,219.749,0.0
80,820473144.138,219.853,0.0
81,820473154.139,219.948,0.0
82,820473164.14,220.046,0.0
83,820473174.143999,220.139,0.0
84,820473184.147,220.209,0.0
85,820473194.148999,220.307,0.0
86,820473204.149999,220.398,0.0
87,820473214.152999,220.484,0.0
88,820473224.155,220.618,0.0
89,820473234.155999,220.711,0.0
90,820473244.158999,220.824,0.0
91,820473254.16,220.91,0.0
92,820473264.161999,220.993,0.0
93,820473274.161999,221.095,0.0
94,820473284.162999,221.145,0.0
95,820473294.164999,221.234,0.0
96,820473304.166999,221.298,0.0
97,820473314.169999,221.36,0.0
98,820473324.172,221.441,0.0
99,820473334.174999,221.551,0.0
100,820473344.177999,221.611,0.0
101,820473354.180999,221.698,0.0
102,820473364.182999,221.786,0.0
103,820473374.186999,221.872,0.0
104,820473384.19,221.945,0.0
105,820473394.192,222.018,0.0
106,820473404.194,222.074,0.0
107,820473414.195,222.155,0.0
108,820473424.195999,222.223,0.0
109,820473434.198999,222.28,0.0
110,820473444.199,222.36,0.0
111,820473454.2,222.436,0.0
112,820473464.201,222.509,0.0
113,820473474.204,222.585,0.0
114,820473484.206,222.649,0.0
115,820473494.205999,222.709,0.0
116,820473504.207999,222.788,0.0
117,820473514.213,222.874,0.0
118,820473524.216,222.944,0.0
119,820473534.216,223.043,0.0
120,820473544.216999,223.119,0.0
121,820473554.217999,223.208,0.0
122,820473564.219,223.268,0.0
123,820473574.220999,223.349,0.0
124,820473584.222,223.413,0.0
125,820473594.222999,223.499,0.0
126,820473604.224,223.55,0.0
127,820473614.224999,223.634,0.0
128,820473624.225999,223.694,0.0
129,820473634.229999,223.758,0.0
130,820473644.231,223.827,0.0
131,820473654.231999,223.911,0.0
132,820473664.232999,223.977,0.0
133,820473674.234,224.036,0.0
134,820473684.236999,224.116,0.0
135,820473694.237999,224.2,0.0
136,820473704.238999,224.236,0.0
137,820473714.24,224.308,0.0
