,Time,Value,Alert
0,820472343.503,237.419,0.0
1,820472353.506999,237.533,0.0
2,820472363.507,237.649,0.0
3,820472373.508,237.753,0.0
4,820472383.509,237.908,0.0
5,820472393.511,238.041,0.0
6,820472403.520999,238.16,0.0
7,820472413.523999,238.249,0.0
8,820472423.527,238.393,0.0
9,820472433.529,238.476,0.0
10,820472443.53,238.563,0.0
11,820472453.531999,238.673,0.0
12,820472463.533999,238.797,0.0
13,820472473.544,238.969,0.0
14,820472483.553999,239.134,0.0
15,820472493.555999,239.264,0.0
16,820472503.557,239.41,0.0
17,820472513.557999,239.572,0.0
18,820472523.559,239.724,0.0
19,820472533.56,239.852,0.0
20,820472543.561,240.024,0.0
21,820472553.561999,240.203,0.0
22,820472563.564,240.382,0.0
23,820472573.564999,240.519,0.0
24,820472583.565999,240.693,0.0
25,820472593.567,240.828,0.0
26,820472603.568,240.975,0.0
27,820472613.567999,241.104,0.0
28,820472623.57,241.237,0.0
29,820472633.570999,241.363,0.0
30,820472643.573,241.484,0.0
31,820472653.573,241.649,0.0
32,820472663.574999,241.764,0.0
33,820472673.578,241.857,0.0
34,820472683.578,241.959,0.0
35,820472693.579999,242.093,0.0
36,820472703.581999,242.2,0.0
37,820472713.583,242.31,0.0
38,820472723.585999,242.404,0.0
39,820472733.588,242.502,0.0
40,820472743.588999,242.621,0.0
41,820472753.59,242.716,0.0
42,820472763.591,242.836,0.0
43,820472773.593,242.925,0.0
44,820472783.594,242.992,0.0
45,820472793.597999,243.126,0.0
46,820472803.600999,243.222,0.0
47,820472813.601999,243.34,0.0
48,820472823.605,243.434,0.0
49,820472833.606999,243.555,0.0
50,820472843.606999,243.659,0.0
51,820472853.609999,243.807,0.0
52,820472863.610999,243.903,0.0
53,820472873.612,243.988,0.0
54,820472883.612,244.074,0.0
55,820472893.612999,244.15,0.0
56,820472903.614999,244.283,0.0
57,820472913.615,244.372,0.0
58,820472923.616999,244.489,0.0
59,820472933.616999,244.618,0.0
60,820472943.617999,244.751,0.0
61,820472953.618,244.852,0.0
62,820472963.62,244.935,0.0
63,820472973.621,245.044,0.0
64,820472983.622999,245.135,0.0
65,820472993.624,245.253,0.0
66,820473003.624,245.357,0.0
67,820473013.625,245.445,0.0
68,820473023.628,245.514,0.0
69,820473033.628999,245.643,0.0
70,820473043.631999,245.731,0.0
71,820473053.631999,245.783,0.0
72,820473063.633999,245.86,0.0
73,820473073.637,245.967,0.0
74,820473083.637,246.027,0.0
75,820473093.642,246.097,0.0
76,820473103.643,246.208,0.0
77,820473113.643999,246.242,0.0
78,820473123.645,246.303,0.0
79,820473133.647,246.388,0.0
80,820473143.649,246.489,0.0
81,820473153.649999,246.572,0.0
82,820473163.651,246.637,0.0
83,820473173.655,246.745,0.0
84,820473183.657999,246.799,0.0
85,820473193.66,246.89,0.0
86,820473203.661,246.959,0.0
87,820473213.664,247.038,0.0
88,820473223.665999,247.194,0.0
89,820473233.667,247.276,0.0
90,820473243.669999,247.401,0.0
91,820473253.670999,247.479,0.0
92,820473263.672,247.545,0.0
93,820473273.673,247.636,0.0
94,820473283.673999,247.715,0.0
95,820473293.676,247.784,0.0
96,820473303.677999,247.869,0.0
97,820473313.680999,247.952,0.0
98,820473323.682999,248.015,0.0
99,820473333.686,248.127,0.0
100,820473343.689,248.174,0.0
101,820473353.692,248.251,0.0
102,820473363.694,248.32,0.0
103,820473373.698,248.385,0.0
104,820473383.701,248.473,0.0
105,820473393.703,248.54,0.0
106,820473403.704999,248.589,0.0
107,820473413.706,248.642,0.0
108,820473423.706999,248.706,0.0
109,820473433.71,248.74,0.0
110,820473443.71,248.82,0.0
111,820473453.710999,248.894,0.0
112,820473463.712,248.954,0.0
113,820473473.715,249.037,0.0
114,820473483.717,249.086,0.0
115,820473493.717,249.147,0.0
116,820473503.719,249.201,0.0
