,Time,Value,Alert
0,820468700.696,52.029,0.0
1,820468710.702,51.932,0.0
2,820468720.704,51.86,0.0
3,820468730.709,51.811,0.0
4,820468740.71,51.868,0.0
5,820468750.711,52.01,0.0
6,820468760.711999,52.257,0.0
7,820468770.711999,52.619,0.0
8,820468780.713,53.051,0.0
9,820468790.713999,53.542,0.0
10,820468800.715,54.104,0.0
11,820468810.717,54.705,0.0
12,820468820.719,55.343,0.0
13,820468830.721,55.996,0.0
14,820468840.720999,56.686,0.0
15,820468850.722,57.383,0.0
16,820468860.723,58.092,0.0
17,820468870.724999,58.821,0.0
18,820468880.725999,59.564,0.0
19,820468890.733,60.313,0.0
20,820468900.734999,61.052,0.0
21,820468910.735999,61.811,0.0
22,820468920.737,62.57,0.0
23,820468930.737999,63.329,0.0
24,820468940.739999,64.099,0.0
25,820468950.742999,64.848,0.0
26,820468960.743999,65.598,0.0
27,820468970.746999,66.352,0.0
28,820468980.753,67.107,0.0
29,820468990.753999,67.851,0.0
30,820469000.756,68.584,0.0
31,820469010.757,69.345,0.0
32,820469020.759999,70.065,0.0
33,820469030.761,70.803,0.0
34,820469040.762,71.504,0.0
35,820469050.763999,72.214,0.0
36,820469060.763999,72.924,0.0
37,820469070.765999,73.664,0.0
38,820469080.767,74.367,0.0
39,820469090.768,75.107,0.0
40,820469100.77,75.826,0.0
41,820469110.772,76.548,0.0
42,820469120.774,77.241,0.0
43,820469130.775999,77.957,0.0
44,820469140.776,78.668,0.0
45,820469150.779,79.353,0.0
46,820469160.78,80.05,0.0
47,820469170.782,80.747,0.0
48,820469180.783999,81.448,0.0
49,820469190.786,82.131,0.0
50,820469200.790999,82.826,0.0
51,820469210.793999,83.496,0.0
52,820469220.794,84.175,0.0
53,820469230.795999,84.854,0.0
54,820469240.797,85.511,0.0
55,820469250.803,86.194,0.0
56,820469260.804999,86.837,0.0
57,820469270.807999,87.507,0.0
58,820469280.811,88.171,0.0
59,820469290.814,88.833,0.0
60,820469300.818999,89.486,0.0
61,820469310.821,90.133,0.0
62,820469320.831,90.796,0.0
63,820469330.84,91.423,0.0
64,820469340.842,92.075,0.0
65,820469350.843999,92.707,0.0
66,820469360.844999,93.335,0.0
67,820469370.846,93.965,0.0
68,820469380.847,94.607,0.0
69,820469390.848999,95.219,0.0
70,820469400.851,95.832,0.0
71,820469410.855999,96.435,0.0
72,820469420.859999,97.047,0.0
73,820469430.862999,97.651,0.0
74,820469440.868,98.261,0.0
75,820469450.869999,98.869,0.0
76,820469460.873,99.483,0.0
77,820469470.874,100.081,0.0
78,820469480.876999,100.681,0.0
79,820469490.878,101.266,0.0
80,820469500.878999,101.864,0.0
81,820469510.881,102.457,0.0
82,820469520.884,103.051,0.0
83,820469530.887,103.636,0.0
84,820469540.888999,104.212,0.0
85,820469550.893,104.784,0.0
86,820469560.893999,105.378,0.0
87,820469570.896,105.96,0.0
88,820469580.899,106.53,0.0
89,820469590.900999,107.103,0.0
90,820469600.902,107.653,0.0
91,820469610.903999,108.214,0.0
92,820469620.906999,108.785,0.0
93,820469630.911,109.337,0.0
