,Time,Value,Alert
0,820468700.94,52.135,0.0
1,820468710.946999,52.052,0.0
2,820468720.948999,51.983,0.0
3,820468730.954,51.9,0.0
4,820468740.955,51.828,0.0
5,820468750.955999,51.761,0.0
6,820468760.957,51.691,0.0
7,820468770.957,51.649,0.0
8,820468780.957999,51.587,0.0
9,820468790.959,51.539,0.0
10,820468800.96,51.52,0.0
11,820468810.961999,51.51,0.0
12,820468820.963999,51.527,0.0
13,820468830.964999,51.576,0.0
14,820468840.966,51.633,0.0
15,820468850.966999,51.709,0.0
16,820468860.968,51.8,0.0
17,820468870.97,51.909,0.0
18,820468880.971,52.045,0.0
19,820468890.978,52.205,0.0
20,820468900.979999,52.382,0.0
21,820468910.981,52.585,0.0
22,820468920.982,52.789,0.0
23,820468930.983,53.018,0.0
24,820468940.984999,53.27,0.0
25,820468950.987999,53.51,0.0
26,820468960.988999,53.796,0.0
27,820468970.991999,54.085,0.0
28,820468980.998,54.392,0.0
29,820468990.999,54.708,0.0
30,820469001.001,55.045,0.0
31,820469011.001999,55.379,0.0
32,820469021.005,55.728,0.0
33,820469031.006,56.104,0.0
34,820469041.006999,56.447,0.0
35,820469051.009,56.841,0.0
36,820469061.009,57.191,0.0
37,820469071.010999,57.632,0.0
38,820469081.012,58.016,0.0
39,820469091.012999,58.438,0.0
40,820469101.014999,58.868,0.0
41,820469111.016999,59.285,0.0
42,820469121.018999,59.738,0.0
43,820469131.021,60.194,0.0
44,820469141.021,60.649,0.0
45,820469151.024,61.113,0.0
46,820469161.024999,61.572,0.0
47,820469171.026999,62.036,0.0
48,820469181.028999,62.52,0.0
49,820469191.030999,63.01,0.0
50,820469201.036,63.485,0.0
51,820469211.037999,63.968,0.0
52,820469221.038999,64.468,0.0
53,820469231.039999,64.956,0.0
54,820469241.042,65.458,0.0
55,820469251.047999,65.958,0.0
56,820469261.049999,66.469,0.0
57,820469271.052999,66.981,0.0
58,820469281.056,67.474,0.0
59,820469291.058999,67.973,0.0
60,820469301.062999,68.498,0.0
61,820469311.065999,69.008,0.0
62,820469321.076,69.529,0.0
63,820469331.085,70.044,0.0
64,820469341.086999,70.57,0.0
65,820469351.089,71.104,0.0
66,820469361.089999,71.623,0.0
67,820469371.091,72.142,0.0
68,820469381.091999,72.674,0.0
69,820469391.094,73.207,0.0
70,820469401.096,73.727,0.0
71,820469411.101,74.245,0.0
72,820469421.105,74.787,0.0
73,820469431.108,75.278,0.0
74,820469441.112999,75.804,0.0
75,820469451.115,76.328,0.0
76,820469461.118,76.867,0.0
77,820469471.118999,77.394,0.0
78,820469481.120999,77.904,0.0
79,820469491.123,78.429,0.0
80,820469501.124,78.954,0.0
81,820469511.125999,79.476,0.0
82,820469521.129,79.993,0.0
83,820469531.131999,80.524,0.0
84,820469541.134,81.036,0.0
85,820469551.138,81.565,0.0
86,820469561.139,82.101,0.0
87,820469571.140999,82.589,0.0
88,820469581.143999,83.116,0.0
89,820469591.146,83.645,0.0
90,820469601.146999,84.156,0.0
91,820469611.149,84.659,0.0
92,820469621.152,85.182,0.0
93,820469631.155999,85.683,0.0
94,820469641.157999,86.19,0.0
95,820469651.159,86.704,0.0
96,820469661.169,87.204,0.0
97,820469671.175,87.716,0.0
98,820469681.180999,88.213,0.0
99,820469691.189,88.723,0.0
100,820469701.199,89.222,0.0
101,820469711.199999,89.713,0.0
102,820469721.21,90.22,0.0
103,820469731.219,90.722,0.0
104,820469741.228999,91.196,0.0
105,820469751.238999,91.728,0.0
106,820469761.239,92.215,0.0
107,820469771.247999,92.722,0.0
108,820469781.248999,93.206,0.0
109,820469791.251,93.687,0.0
110,820469801.255,94.181,0.0
111,820469811.256,94.649,0.0
112,820469821.26,95.13,0.0
113,820469831.263999,95.598,0.0
114,820469841.274,96.073,0.0
115,820469851.275999,96.55,0.0
116,820469861.277999,97.008,0.0
117,820469871.287999,97.477,0.0
118,820469881.288999,97.947,0.0
119,820469891.291,98.405,0.0
120,820469901.297999,98.869,0.0
121,820469911.301999,99.331,0.0
122,820469921.302999,99.783,0.0
123,820469931.308999,100.237,0.0
124,820469941.312,100.693,0.0
125,820469951.314999,101.137,0.0
126,820469961.321,101.586,0.0
127,820469971.326,102.029,0.0
128,820469981.328,102.504,0.0
129,820469991.337,102.929,0.0
130,820470001.340999,103.357,0.0
131,820470011.351,103.816,0.0
132,820470021.353,104.245,0.0
133,820470031.358,104.692,0.0
134,820470041.359999,105.136,0.0
135,820470051.362999,105.569,0.0
136,820470061.373,105.999,0.0
137,820470071.375,106.435,0.0
138,820470081.379,106.855,0.0
139,820470091.387,107.288,0.0
140,820470101.392,107.693,0.0
141,820470111.395,108.101,0.0
142,820470121.405999,108.549,0.0
143,820470131.416,108.954,0.0
144,820470141.422999,109.371,0.0
145,820470151.423999,109.78,0.0
146,820470161.424999,110.196,0.0
147,820470171.433999,110.607,0.0
148,820470181.441999,111.018,0.0
149,820470191.448,111.408,0.0
150,820470201.452,111.826,0.0
151,820470211.458999,112.232,0.0
152,820470221.466,112.643,0.0
153,820470231.470999,113.049,0.0
154,820470241.475,113.468,0.0
155,820470251.483,113.871,0.0
156,820470261.484999,114.255,0.0
157,820470271.492,114.659,0.0
158,820470281.502,115.049,0.0
159,820470291.509,115.439,0.0
160,820470301.518999,115.823,0.0
161,820470311.526999,116.2,0.0
162,820470321.53,116.598,0.0
163,820470331.539999,116.967,0.0
164,820470341.542999,117.332,0.0
165,820470351.545,117.719,0.0
166,820470361.546,118.082,0.0
167,820470371.548999,118.465,0.0
168,820470381.553999,118.838,0.0
169,820470391.562999,119.205,0.0
170,820470401.57,119.584,0.0
171,820470411.576999,119.945,0.0
172,820470421.579,120.3,0.0
173,820470431.583999,120.658,0.0
174,820470441.589999,121.01,0.0
175,820470451.596,121.381,0.0
176,820470461.598999,121.727,0.0
177,820470471.606,122.073,0.0
178,820470481.609,122.419,0.0
179,820470491.615,122.773,0.0
180,820470501.617,123.119,0.0
181,820470511.617,123.473,0.0
182,820470521.627,123.817,0.0
183,820470531.63,124.167,0.0
184,820470541.639999,124.497,0.0
185,820470551.648999,124.857,0.0
186,820470561.652999,125.177,0.0
187,820470571.66,125.548,0.0
188,820470581.661,125.886,0.0
189,820470591.664999,126.228,0.0
190,820470601.667,126.576,0.0
191,820470611.672,126.9,0.0
192,820470621.676999,127.248,0.0
193,820470631.678999,127.579,0.0
194,820470641.679999,127.902,0.0
195,820470651.689999,128.219,0.0
196,820470661.696,128.544,0.0
197,820470671.704,128.859,0.0
198,820470681.707999,129.174,0.0
199,820470691.707999,129.512,0.0
200,820470701.716999,129.825,0.0
201,820470711.720999,130.157,0.0
202,820470721.73,130.448,0.0
203,820470731.734,130.776,0.0
204,820470741.742,131.075,0.0
205,820470751.751999,131.381,0.0
206,820470761.753999,131.68,0.0
207,820470771.758,131.966,0.0
208,820470781.76,132.254,0.0
209,820470791.769999,132.562,0.0
210,820470801.778999,132.847,0.0
211,820470811.786999,133.145,0.0
212,820470821.793999,133.447,0.0
213,820470831.796999,133.758,0.0
214,820470841.802,134.054,0.0
215,820470851.807,134.326,0.0
216,820470861.811,134.628,0.0
217,820470871.815,134.912,0.0
218,820470881.823999,135.211,0.0
219,820470891.829,135.496,0.0
220,820470901.836,135.785,0.0
221,820470911.845,136.089,0.0
222,820470921.847999,136.377,0.0
223,820470931.850999,136.665,0.0
224,820470941.859999,136.948,0.0
225,820470951.866999,137.218,0.0
226,820470961.874,137.487,0.0
227,820470971.878999,137.767,0.0
228,820470981.884,138.041,0.0
229,820470991.893,138.31,0.0
230,820471001.896,138.578,0.0
231,820471011.896,138.829,0.0
