,Time,Value,Alert
0,820468699.961999,51.376,0.0
1,820468709.969,51.595,0.0
2,820468719.970999,52.757,0.0
3,820468729.975999,54.469,0.0
4,820468739.976999,56.473,0.0
5,820468749.977999,58.544,0.0
6,820468759.978999,60.617,0.0
7,820468769.978999,62.681,0.0
8,820468779.979999,64.656,0.0
9,820468789.981,66.579,0.0
10,820468799.981999,68.484,0.0
11,820468809.984,70.349,0.0
12,820468819.986,72.118,0.0
13,820468829.986999,73.861,0.0
14,820468839.987999,75.542,0.0
15,820468849.988999,77.18,0.0
16,820468859.99,78.768,0.0
17,820468869.992,80.318,0.0
18,820468879.992999,81.819,0.0
19,820468890.0,83.302,0.0
20,820468900.002,84.734,0.0
21,820468910.003,86.113,0.0
22,820468920.004,87.479,0.0
23,820468930.005,88.787,0.0
24,820468940.006,90.1,0.0
25,820468950.01,91.359,0.0
26,820468960.011,92.601,0.0
27,820468970.014,93.798,0.0
28,820468980.02,94.973,0.0
29,820468990.021,96.156,0.0
30,820469000.022999,97.269,0.0
31,820469010.024,98.385,0.0
32,820469020.027,99.487,0.0
33,820469030.027999,100.586,0.0
34,820469040.029,101.612,0.0
35,820469050.031,102.642,0.0
36,820469060.030999,103.618,0.0
37,820469070.033,104.676,0.0
38,820469080.033999,105.672,0.0
39,820469090.034999,106.667,0.0
40,820469100.037,107.647,0.0
41,820469110.038999,108.589,0.0
42,820469120.041,109.514,0.0
43,820469130.042999,110.441,0.0
44,820469140.042999,111.379,0.0
45,820469150.045999,112.272,0.0
46,820469160.046,113.177,0.0
47,820469170.048999,114.081,0.0
48,820469180.050999,114.95,0.0
49,820469190.053,115.799,0.0
50,820469200.057999,116.644,0.0
51,820469210.06,117.507,0.0
52,820469220.061,118.324,0.0
53,820469230.061999,119.149,0.0
54,820469240.064,119.964,0.0
55,820469250.07,120.77,0.0
56,820469260.072,121.557,0.0
57,820469270.075,122.344,0.0
58,820469280.078,123.134,0.0
59,820469290.080999,123.883,0.0
60,820469300.085,124.642,0.0
61,820469310.088,125.4,0.0
62,820469320.097999,126.13,0.0
63,820469330.106999,126.841,0.0
64,820469340.109,127.568,0.0
65,820469350.111,128.284,0.0
66,820469360.111999,128.981,0.0
67,820469370.112999,129.689,0.0
68,820469380.113999,130.364,0.0
69,820469390.115999,131.041,0.0
70,820469400.118,131.752,0.0
71,820469410.122999,132.43,0.0
72,820469420.126999,133.126,0.0
73,820469430.129999,133.821,0.0
74,820469440.134999,134.509,0.0
75,820469450.137,135.179,0.0
76,820469460.14,135.856,0.0
77,820469470.141,136.509,0.0
78,820469480.143,137.184,0.0
79,820469490.144999,137.839,0.0
80,820469500.146,138.48,0.0
81,820469510.148,139.123,0.0
82,820469520.151,139.758,0.0
83,820469530.153999,140.391,0.0
84,820469540.155999,141.001,0.0
85,820469550.16,141.621,0.0
86,820469560.161,142.221,0.0
87,820469570.162999,142.817,0.0
88,820469580.166,143.429,0.0
89,820469590.167999,144.027,0.0
90,820469600.169,144.601,0.0
91,820469610.170999,145.162,0.0
92,820469620.173999,145.73,0.0
93,820469630.177999,146.274,0.0
94,820469640.18,146.841,0.0
95,820469650.180999,147.385,0.0
96,820469660.190999,147.948,0.0
97,820469670.196999,148.501,0.0
98,820469680.203,149.006,0.0
99,820469690.210999,149.545,0.0
100,820469700.221,150.088,0.0
101,820469710.221999,150.571,0.0
102,820469720.231999,151.125,0.0
103,820469730.240999,151.677,0.0
104,820469740.250999,152.173,0.0
105,820469750.261,152.73,0.0
106,820469760.261,153.213,0.0
107,820469770.269999,153.729,0.0
108,820469780.271,154.221,0.0
109,820469790.272999,154.723,0.0
110,820469800.277,155.214,0.0
111,820469810.277999,155.694,0.0
112,820469820.282,156.136,0.0
113,820469830.285999,156.614,0.0
114,820469840.295999,157.086,0.0
115,820469850.297999,157.549,0.0
116,820469860.299999,158.027,0.0
117,820469870.31,158.483,0.0
118,820469880.311,158.946,0.0
119,820469890.313,159.405,0.0
