Frecuencia [Hz],Error Frecuencia [Hz],X [V],Ruido X [V],Y [V],Ruido Y [V],Tiempo de integración [s],Escala [V]
100.0,,-0.047127,5e-06,-0.0130234,5e-06,,0.01
119.83967935871743,,-0.0414431,5e-06,-0.0113068,5e-06,,0.01
139.67935871743487,,-0.0303804,5e-06,-0.00826269,5e-06,,0.01
159.5190380761523,,-0.0193025,5e-06,-0.00526431,5e-06,,0.01
179.35871743486973,,-0.0110474,5e-06,-0.00305177,5e-06,,0.01
199.1983967935872,,-0.00586703,5e-06,-0.00166322,5e-06,,0.01
219.03807615230463,,-0.00293733,5e-06,-0.000900272,5e-06,,0.01
238.8777555110221,,-0.0014267,5e-06,-0.000503544,5e-06,,0.01
258.71743486973946,,-0.00067902,5e-06,-0.000320436,5e-06,,0.01
278.5571142284569,,-0.000320436,5e-06,-0.000251772,5e-06,,0.01
298.3967935871744,,-0.000167848,5e-06,-0.000221253,5e-06,,0.01
318.2364729458918,,-0.000106812,5e-06,-0.000221253,5e-06,,0.01
338.07615230460925,,-7.62944e-05,5e-06,-0.000236512,5e-06,,0.01
357.9158316633267,,-6.10356e-05,5e-06,-0.000251772,5e-06,,0.01
377.7555110220441,,-6.10356e-05,5e-06,-0.000267031,5e-06,,0.01
397.5951903807616,,-6.10356e-05,5e-06,-0.000282289,5e-06,,0.01
417.434869739479,,-6.8665e-05,5e-06,-0.000305178,5e-06,,0.01
437.2745490981964,,-6.8665e-05,5e-06,-0.000320436,5e-06,,0.01
457.11422845691385,,-7.62944e-05,5e-06,-0.000335695,5e-06,,0.01
476.9539078156313,,-7.62944e-05,5e-06,-0.000350954,5e-06,,0.01
496.7935871743487,,-8.39238e-05,5e-06,-0.000373842,5e-06,,0.01
516.6332665330661,,-9.15532e-05,5e-06,-0.000389101,5e-06,,0.01
536.4729458917836,,-9.91826e-05,5e-06,-0.00040436,5e-06,,0.01
556.312625250501,,-0.000106812,5e-06,-0.000427248,5e-06,,0.01
576.1523046092185,,-0.000106812,5e-06,-0.000434877,5e-06,,0.01
595.991983967936,,-0.000114441,5e-06,-0.000450136,5e-06,,0.01
615.8316633266534,,-0.000122071,5e-06,-0.000473024,5e-06,,0.01
635.6713426853707,,-0.000129701,5e-06,-0.000480654,5e-06,,0.01
655.5110220440882,,-0.00013733,5e-06,-0.000503544,5e-06,,0.01
675.3507014028056,,-0.000144959,5e-06,-0.000518803,5e-06,,0.01
695.1903807615231,,-0.000152589,5e-06,-0.000534061,5e-06,,0.01
715.0300601202405,,-0.000160218,5e-06,-0.00054932,5e-06,,0.01
734.869739478958,,-0.000160218,5e-06,-0.000564579,5e-06,,0.01
754.7094188376755,,-0.000167848,5e-06,-0.000579838,5e-06,,0.01
774.5490981963928,,-0.000183106,5e-06,-0.000587467,5e-06,,0.01
794.3887775551103,,-0.000190736,5e-06,-0.000602726,5e-06,,0.01
814.2284569138277,,-0.000198365,5e-06,-0.000617985,5e-06,,0.01
