Frecuencia [Hz],Error Frecuencia [Hz],X [V],Ruido X [V],Y [V],Ruido Y [V],Tiempo de integración [s],Escala [V]
506.0353451150384,,-0.000312807,5e-06,-0.00173951,5e-06,,0.01
509.3364454818273,,-0.000320436,5e-06,-0.00174714,5e-06,,0.01
512.6375458486162,,-0.000320436,5e-06,-0.00175477,5e-06,,0.01
515.9386462154051,,-0.000320436,5e-06,-0.00177003,5e-06,,0.01
519.2397465821941,,-0.000328066,5e-06,-0.00178529,5e-06,,0.01
522.540846948983,,-0.000328066,5e-06,-0.00179292,5e-06,,0.01
525.8419473157719,,-0.000335695,5e-06,-0.00180054,5e-06,,0.01
529.1430476825609,,-0.000335695,5e-06,-0.00180817,5e-06,,0.01
532.4441480493498,,-0.000343325,5e-06,-0.00182343,5e-06,,0.01
535.7452484161388,,-0.000350954,5e-06,-0.00183106,5e-06,,0.01
539.0463487829277,,-0.000350954,5e-06,-0.00184632,5e-06,,0.01
542.3474491497166,,-0.000358583,5e-06,-0.00185395,5e-06,,0.01
545.6485495165055,,-0.000358583,5e-06,-0.00186158,5e-06,,0.01
548.9496498832945,,-0.000366213,5e-06,-0.00187684,5e-06,,0.01
552.2507502500835,,-0.000366213,5e-06,-0.00188447,5e-06,,0.01
555.5518506168723,,-0.000373842,5e-06,-0.00189973,5e-06,,0.01
558.8529509836612,,-0.000373842,5e-06,-0.00190736,5e-06,,0.01
562.1540513504501,,-0.000381472,5e-06,-0.00191499,5e-06,,0.01
565.4551517172391,,-0.000381472,5e-06,-0.00193024,5e-06,,0.01
568.756252084028,,-0.000389101,5e-06,-0.00193787,5e-06,,0.01
572.057352450817,,-0.000389101,5e-06,-0.00195314,5e-06,,0.01
575.3584528176059,,-0.00039673,5e-06,-0.00196077,5e-06,,0.01
578.6595531843948,,-0.00040436,5e-06,-0.0019684,5e-06,,0.01
581.9606535511838,,-0.00040436,5e-06,-0.00197603,5e-06,,0.01
585.2617539179727,,-0.000411989,5e-06,-0.00199129,5e-06,,0.01
588.5628542847617,,-0.000419619,5e-06,-0.00199892,5e-06,,0.01
591.8639546515506,,-0.000419619,5e-06,-0.00201418,5e-06,,0.01
595.1650550183394,,-0.000427248,5e-06,-0.00201418,5e-06,,0.01
598.4661553851283,,-0.000427248,5e-06,-0.00202943,5e-06,,0.01
601.7672557519173,,-0.000427248,5e-06,-0.00203706,5e-06,,0.01
605.0683561187063,,-0.000434877,5e-06,-0.00205232,5e-06,,0.01
608.3694564854952,,-0.000442507,5e-06,-0.00205995,5e-06,,0.01
611.6705568522841,,-0.000442507,5e-06,-0.00206758,5e-06,,0.01
614.971657219073,,-0.000450136,5e-06,-0.00208284,5e-06,,0.01
618.272757585862,,-0.000457766,5e-06,-0.00209047,5e-06,,0.01
621.5738579526509,,-0.000457766,5e-06,-0.00210573,5e-06,,0.01
624.8749583194399,,-0.000465395,5e-06,-0.00211336,5e-06,,0.01
628.1760586862288,,-0.000473024,5e-06,-0.00212099,5e-06,,0.01
631.4771590530177,,-0.000473024,5e-06,-0.00212862,5e-06,,0.01
634.7782594198067,,-0.000480654,5e-06,-0.00214387,5e-06,,0.01
638.0793597865955,,-0.000480654,5e-06,-0.0021515,5e-06,,0.01
641.3804601533845,,-0.000480654,5e-06,-0.00216676,5e-06,,0.01
644.6815605201734,,-0.000488285,5e-06,-0.00216676,5e-06,,0.01
647.9826608869623,,-0.000495914,5e-06,-0.00218202,5e-06,,0.01
651.2837612537513,,-0.000495914,5e-06,-0.00218965,5e-06,,0.01
654.5848616205402,,-0.000503544,5e-06,-0.00220491,5e-06,,0.01
657.8859619873291,,-0.000511173,5e-06,-0.00221254,5e-06,,0.01
661.1870623541181,,-0.000518803,5e-06,-0.00222017,5e-06,,0.01
664.488162720907,,-0.000518803,5e-06,-0.0022278,5e-06,,0.01
667.7892630876959,,-0.000526432,5e-06,-0.00224306,5e-06,,0.01
671.0903634544849,,-0.000534061,5e-06,-0.00225069,5e-06,,0.01
674.3914638212738,,-0.000534061,5e-06,-0.00226595,5e-06,,0.01
677.6925641880628,,-0.000534061,5e-06,-0.00227357,5e-06,,0.01
680.9936645548516,,-0.000541691,5e-06,-0.0022812,5e-06,,0.01
684.2947649216405,,-0.00054932,5e-06,-0.00228883,5e-06,,0.01
687.5958652884295,,-0.00054932,5e-06,-0.00230409,5e-06,,0.01
690.8969656552184,,-0.00055695,5e-06,-0.00231172,5e-06,,0.01
694.1980660220074,,-0.000564579,5e-06,-0.00232698,5e-06,,0.01
697.4991663887963,,-0.000572208,5e-06,-0.00232698,5e-06,,0.01
700.8002667555852,,-0.000572208,5e-06,-0.00234224,5e-06,,0.01
704.1013671223742,,-0.000579838,5e-06,-0.00234987,5e-06,,0.01
707.4024674891631,,-0.000587467,5e-06,-0.00236513,5e-06,,0.01
710.703567855952,,-0.000587467,5e-06,-0.00237276,5e-06,,0.01
714.004668222741,,-0.000587467,5e-06,-0.00238039,5e-06,,0.01
717.3057685895299,,-0.000595096,5e-06,-0.00238802,5e-06,,0.01
720.6068689563187,,-0.000602726,5e-06,-0.00239564,5e-06,,0.01
723.9079693231077,,-0.000610355,5e-06,-0.0024109,5e-06,,0.01
727.2090696898966,,-0.000610355,5e-06,-0.00241853,5e-06,,0.01
730.5101700566856,,-0.000617985,5e-06,-0.00243379,5e-06,,0.01
733.8112704234745,,-0.000625614,5e-06,-0.00243379,5e-06,,0.01
737.1123707902634,,-0.000633243,5e-06,-0.00244905,5e-06,,0.01
740.4134711570524,,-0.000640873,5e-06,-0.00245668,5e-06,,0.01
743.7145715238413,,-0.000640873,5e-06,-0.00247194,5e-06,,0.01
747.0156718906303,,-0.000640873,5e-06,-0.00247957,5e-06,,0.01
750.3167722574192,,-0.000648502,5e-06,-0.0024872,5e-06,,0.01
753.6178726242081,,-0.000656132,5e-06,-0.00249483,5e-06,,0.01
756.9189729909971,,-0.000656132,5e-06,-0.00250246,5e-06,,0.01
760.220073357786,,-0.000663761,5e-06,-0.00251772,5e-06,,0.01
763.5211737245749,,-0.00067139,5e-06,-0.00252534,5e-06,,0.01
766.8222740913639,,-0.00067902,5e-06,-0.00253297,5e-06,,0.01
770.1233744581527,,-0.00067902,5e-06,-0.0025406,5e-06,,0.01
773.4244748249416,,-0.000686649,5e-06,-0.00254823,5e-06,,0.01
776.7255751917306,,-0.000686649,5e-06,-0.00256349,5e-06,,0.01
780.0266755585195,,-0.000694279,5e-06,-0.00257112,5e-06,,0.01
783.3277759253085,,-0.000701908,5e-06,-0.00258638,5e-06,,0.01
786.6288762920974,,-0.000709537,5e-06,-0.00259401,5e-06,,0.01
789.9299766588863,,-0.000709537,5e-06,-0.00259401,5e-06,,0.01
793.2310770256753,,-0.000717167,5e-06,-0.00260927,5e-06,,0.01
796.5321773924642,,-0.000724796,5e-06,-0.0026169,5e-06,,0.01
799.8332777592532,,-0.000732426,5e-06,-0.00263216,5e-06,,0.01
803.1343781260421,,-0.000740055,5e-06,-0.00263979,5e-06,,0.01
806.435478492831,,-0.000740055,5e-06,-0.00264741,5e-06,,0.01
809.73657885962,,-0.000740055,5e-06,-0.00265504,5e-06,,0.01
813.0376792264088,,-0.000747684,5e-06,-0.00266267,5e-06,,0.01
816.3387795931977,,-0.000755314,5e-06,-0.0026703,5e-06,,0.01
819.6398799599867,,-0.000762943,5e-06,-0.00268556,5e-06,,0.01
822.9409803267756,,-0.000770573,5e-06,-0.00269319,5e-06,,0.01
826.2420806935645,,-0.000770573,5e-06,-0.00270082,5e-06,,0.01
829.5431810603535,,-0.000778202,5e-06,-0.00270845,5e-06,,0.01
832.8442814271424,,-0.000785831,5e-06,-0.00271608,5e-06,,0.01
836.1453817939314,,-0.000793461,5e-06,-0.00273134,5e-06,,0.01
839.4464821607203,,-0.000793461,5e-06,-0.00273897,5e-06,,0.01
842.7475825275092,,-0.00080109,5e-06,-0.0027466,5e-06,,0.01
846.0486828942982,,-0.00080872,5e-06,-0.00275423,5e-06,,0.01
849.349783261087,,-0.00080872,5e-06,-0.00276186,5e-06,,0.01
852.650883627876,,-0.000816349,5e-06,-0.00277711,5e-06,,0.01
855.9519839946649,,-0.000823978,5e-06,-0.00278474,5e-06,,0.01
859.2530843614538,,-0.000831608,5e-06,-0.00279237,5e-06,,0.01
862.5541847282428,,-0.000839237,5e-06,-0.0028,5e-06,,0.01
865.8552850950317,,-0.000846867,5e-06,-0.00280763,5e-06,,0.01
869.1563854618206,,-0.000846867,5e-06,-0.00281526,5e-06,,0.01
872.4574858286096,,-0.000846867,5e-06,-0.00283052,5e-06,,0.01
875.7585861953985,,-0.000854496,5e-06,-0.00283815,5e-06,,0.01
879.0596865621874,,-0.000862125,5e-06,-0.00284578,5e-06,,0.01
882.3607869289764,,-0.000869755,5e-06,-0.00285341,5e-06,,0.01
885.6618872957653,,-0.000877384,5e-06,-0.00286104,5e-06,,0.01
888.9629876625543,,-0.000885013,5e-06,-0.00286867,5e-06,,0.01
892.2640880293432,,-0.000892643,5e-06,-0.00288393,5e-06,,0.01
895.565188396132,,-0.000900272,5e-06,-0.00289156,5e-06,,0.01
898.866288762921,,-0.000900272,5e-06,-0.00289918,5e-06,,0.01
902.16738912971,,-0.000900272,5e-06,-0.00290681,5e-06,,0.01
905.4684894964988,,-0.000907902,5e-06,-0.00291444,5e-06,,0.01
908.7695898632878,,-0.000915531,5e-06,-0.00292207,5e-06,,0.01
912.0706902300768,,-0.00092316,5e-06,-0.00293733,5e-06,,0.01
915.3717905968656,,-0.00093079,5e-06,-0.00294496,5e-06,,0.01
918.6728909636546,,-0.000938419,5e-06,-0.00295259,5e-06,,0.01
921.9739913304436,,-0.000946049,5e-06,-0.00296022,5e-06,,0.01
925.2750916972324,,-0.000953678,5e-06,-0.00296785,5e-06,,0.01
928.5761920640214,,-0.000953678,5e-06,-0.00297548,5e-06,,0.01
931.8772924308104,,-0.000953678,5e-06,-0.00298311,5e-06,,0.01
935.1783927975991,,-0.000961307,5e-06,-0.00299837,5e-06,,0.01
938.479493164388,,-0.000968937,5e-06,-0.003006,5e-06,,0.01
941.7805935311771,,-0.00097657,5e-06,-0.00301363,5e-06,,0.01
945.081693897966,,-0.000984199,5e-06,-0.00302126,5e-06,,0.01
948.3827942647548,,-0.000991829,5e-06,-0.00302888,5e-06,,0.01
951.683894631544,,-0.000999458,5e-06,-0.00303651,5e-06,,0.01
954.9849949983328,,-0.00100709,5e-06,-0.00305177,5e-06,,0.01
958.2860953651218,,-0.00100709,5e-06,-0.0030594,5e-06,,0.01
961.5871957319108,,-0.00101472,5e-06,-0.00306703,5e-06,,0.01
964.8882960986996,,-0.00102235,5e-06,-0.00306703,5e-06,,0.01
968.1893964654886,,-0.00102998,5e-06,-0.00307466,5e-06,,0.01
971.4904968322776,,-0.00103761,5e-06,-0.00308992,5e-06,,0.01
974.7915971990664,,-0.00103761,5e-06,-0.00309755,5e-06,,0.01
978.0926975658554,,-0.00104523,5e-06,-0.00310518,5e-06,,0.01
981.3937979326442,,-0.00105286,5e-06,-0.00311281,5e-06,,0.01
984.6948982994332,,-0.00106049,5e-06,-0.00312044,5e-06,,0.01
987.995998666222,,-0.00106049,5e-06,-0.00312807,5e-06,,0.01
991.297099033011,,-0.00106812,5e-06,-0.0031357,5e-06,,0.01
994.5981993998,,-0.00107575,5e-06,-0.00314333,5e-06,,0.01
997.8992997665888,,-0.00108338,5e-06,-0.00315858,5e-06,,0.01
1001.2004001333778,,-0.00109101,5e-06,-0.00316621,5e-06,,0.01
1004.5015005001668,,-0.00109864,5e-06,-0.00317384,5e-06,,0.01
1007.8026008669556,,-0.00110627,5e-06,-0.00318147,5e-06,,0.01
1011.1037012337448,,-0.0011139,5e-06,-0.0031891,5e-06,,0.01
1014.4048016005336,,-0.0011139,5e-06,-0.00319673,5e-06,,0.01
1017.7059019673223,,-0.00112153,5e-06,-0.00320436,5e-06,,0.01
1021.0070023341116,,-0.00112916,5e-06,-0.00321199,5e-06,,0.01
1024.3081027009002,,-0.00113679,5e-06,-0.00322725,5e-06,,0.01
1027.6092030676891,,-0.00114442,5e-06,-0.00322725,5e-06,,0.01
1030.9103034344782,,-0.00115205,5e-06,-0.00323488,5e-06,,0.01
1034.2114038012671,,-0.00115205,5e-06,-0.00324251,5e-06,,0.01
1037.512504168056,,-0.0011673,5e-06,-0.00325014,5e-06,,0.01
1040.8136045348451,,-0.0011673,5e-06,-0.0032654,5e-06,,0.01
1044.114704901634,,-0.0011673,5e-06,-0.00327303,5e-06,,0.01
1047.415805268423,,-0.00117493,5e-06,-0.00328065,5e-06,,0.01
1050.7169056352118,,-0.00118256,5e-06,-0.00328065,5e-06,,0.01
1054.018006002001,,-0.00119019,5e-06,-0.00328828,5e-06,,0.01
1057.3191063687896,,-0.00119782,5e-06,-0.00330354,5e-06,,0.01
1060.6202067355784,,-0.00120545,5e-06,-0.00331117,5e-06,,0.01
1063.9213071023676,,-0.00121308,5e-06,-0.0033188,5e-06,,0.01
1067.2224074691565,,-0.00122071,5e-06,-0.00332643,5e-06,,0.01
1070.523507835945,,-0.00122071,5e-06,-0.00333406,5e-06,,0.01
