Frecuencia [Hz],Error Frecuencia [Hz],X [V],Ruido X [V],Y [V],Ruido Y [V],Tiempo de integración [s],Escala [V]
1587.9759519038078,,0.110482,5e-06,-0.0601733,5e-06,,0.01
1607.8156312625251,,0.110016,5e-06,-0.0603869,5e-06,,0.01
1627.6553106212425,,0.109589,5e-06,-0.0606081,5e-06,,0.01
1647.49498997996,,0.109185,5e-06,-0.060837,5e-06,,0.01
1667.3346693386777,,0.108773,5e-06,-0.0610583,5e-06,,0.01
1687.1743486973949,,0.108346,5e-06,-0.0612719,5e-06,,0.01
1707.0140280561125,,0.107918,5e-06,-0.0614932,5e-06,,0.01
1726.8537074148298,,0.107483,5e-06,-0.0617068,5e-06,,0.01
1746.6933867735472,,0.107033,5e-06,-0.0619204,5e-06,,0.01
1766.5330661322646,,0.106575,5e-06,-0.0621188,5e-06,,0.01
1786.3727454909822,,0.106118,5e-06,-0.0623248,5e-06,,0.01
1806.2124248497,,0.105652,5e-06,-0.0625234,5e-06,,0.01
1826.052104208417,,0.105179,5e-06,-0.0627141,5e-06,,0.01
1845.8917835671343,,0.104706,5e-06,-0.0629048,5e-06,,0.01
1865.731462925852,,0.104241,5e-06,-0.0631032,5e-06,,0.01
1885.5711422845693,,0.103768,5e-06,-0.0632863,5e-06,,0.01
1905.410821643287,,0.103287,5e-06,-0.0634694,5e-06,,0.01
1925.250501002004,,0.102807,5e-06,-0.0636449,5e-06,,0.01
1945.0901803607217,,0.102334,5e-06,-0.063828,5e-06,,0.01
1964.929859719439,,0.101861,5e-06,-0.0640111,5e-06,,0.01
1984.7695390781564,,0.101388,5e-06,-0.0641789,5e-06,,0.01
2004.609218436874,,0.100914,5e-06,-0.0643468,5e-06,,0.01
2024.448897795592,,0.100449,5e-06,-0.0645146,5e-06,,0.01
2044.2885771543088,,0.0999761,5e-06,-0.0646825,5e-06,,0.01
2064.128256513026,,0.099503,5e-06,-0.0648427,5e-06,,0.01
2083.967935871744,,0.0990376,5e-06,-0.0650105,5e-06,,0.01
2103.807615230461,,0.0985799,5e-06,-0.0651708,5e-06,,0.01
2123.6472945891783,,0.0981297,5e-06,-0.065331,5e-06,,0.01
2143.486973947896,,0.097672,5e-06,-0.0654912,5e-06,,0.01
2163.326653306613,,0.0972142,5e-06,-0.0656438,5e-06,,0.01
2183.16633266533,,0.0967565,5e-06,-0.0657964,5e-06,,0.01
2203.006012024048,,0.0962834,5e-06,-0.0659337,5e-06,,0.01
2222.845691382766,,0.095818,5e-06,-0.0660787,5e-06,,0.01
2242.685370741483,,0.0953526,5e-06,-0.066216,5e-06,,0.01
2262.5250501002006,,0.0948873,5e-06,-0.0663457,5e-06,,0.01
2282.364729458918,,0.0944295,5e-06,-0.0664754,5e-06,,0.01
2302.204408817636,,0.0939641,5e-06,-0.0666051,5e-06,,0.01
2322.044088176353,,0.0935063,5e-06,-0.0667272,5e-06,,0.01
2341.8837675350705,,0.0930409,5e-06,-0.0668569,5e-06,,0.01
2361.723446893788,,0.0925832,5e-06,-0.0669713,5e-06,,0.01
2381.5631262525053,,0.0921178,5e-06,-0.0670857,5e-06,,0.01
2401.4028056112224,,0.09166,5e-06,-0.0672002,5e-06,,0.01
2421.24248496994,,0.0912099,5e-06,-0.0673146,5e-06,,0.01
2441.0821643286577,,0.0907598,5e-06,-0.0674214,5e-06,,0.01
