Frecuencia [Hz],Error Frecuencia [Hz],X [V],Ruido X [V],Y [V],Ruido Y [V],Tiempo de integración [s],Escala [V]
1131.6633266533067,,-0.000366213,5e-06,0.00184632,5e-06,,0.01
1151.503006012024,,-0.000343325,5e-06,0.00188447,5e-06,,0.01
1171.3426853707415,,-0.000328066,5e-06,0.00192261,5e-06,,0.01
1191.182364729459,,-0.000312807,5e-06,0.00196077,5e-06,,0.01
1211.0220440881765,,-0.000289919,5e-06,0.00200655,5e-06,,0.01
1230.8617234468938,,-0.000267031,5e-06,0.00203706,5e-06,,0.01
1250.7014028056112,,-0.000251772,5e-06,0.00207521,5e-06,,0.01
1270.5410821643288,,-0.000228883,5e-06,0.00211336,5e-06,,0.01
1290.3807615230462,,-0.000205995,5e-06,0.0021515,5e-06,,0.01
1310.2204408817636,,-0.000183106,5e-06,0.00218965,5e-06,,0.01
1330.060120240481,,-0.000160218,5e-06,0.00222017,5e-06,,0.01
1349.8997995991986,,-0.00013733,5e-06,0.00226595,5e-06,,0.01
1369.739478957916,,-0.000114441,5e-06,0.00229646,5e-06,,0.01
1389.5791583166333,,-9.15532e-05,5e-06,0.00232698,5e-06,,0.01
1409.418837675351,,-6.8665e-05,5e-06,0.00237276,5e-06,,0.01
1429.2585170340683,,-4.57766e-05,5e-06,0.00240327,5e-06,,0.01
1449.0981963927857,,-2.28883e-05,5e-06,0.00243379,5e-06,,0.01
1468.937875751503,,0.0,5e-06,0.00247194,5e-06,,0.01
1488.7775551102206,,3.05178e-05,5e-06,0.00250246,5e-06,,0.01
1508.617234468938,,5.3406e-05,5e-06,0.00253297,5e-06,,0.01
1528.4569138276554,,8.39238e-05,5e-06,0.00256349,5e-06,,0.01
1548.2965931863728,,0.000106812,5e-06,0.00259401,5e-06,,0.01
1568.1362725450904,,0.000129701,5e-06,0.00263216,5e-06,,0.01
1587.9759519038078,,0.000152589,5e-06,0.00265504,5e-06,,0.01
1607.8156312625251,,0.000183106,5e-06,0.00269319,5e-06,,0.01
1627.6553106212425,,0.000205995,5e-06,0.00271608,5e-06,,0.01
1647.49498997996,,0.000244142,5e-06,0.0027466,5e-06,,0.01
1667.3346693386777,,0.000267031,5e-06,0.00277711,5e-06,,0.01
1687.1743486973949,,0.000297548,5e-06,0.0028,5e-06,,0.01
1707.0140280561125,,0.000320436,5e-06,0.00283052,5e-06,,0.01
1726.8537074148298,,0.000350954,5e-06,0.00285341,5e-06,,0.01
1746.6933867735472,,0.000373842,5e-06,0.00288393,5e-06,,0.01
1766.5330661322646,,0.000411989,5e-06,0.00290681,5e-06,,0.01
1786.3727454909822,,0.000434877,5e-06,0.00293733,5e-06,,0.01
1806.2124248497,,0.000465395,5e-06,0.00296022,5e-06,,0.01
1826.052104208417,,0.000488285,5e-06,0.00299074,5e-06,,0.01
1845.8917835671343,,0.000526432,5e-06,0.003006,5e-06,,0.01
1865.731462925852,,0.00054932,5e-06,0.00303651,5e-06,,0.01
1885.5711422845693,,0.000579838,5e-06,0.0030594,5e-06,,0.01
1905.410821643287,,0.000610355,5e-06,0.00308229,5e-06,,0.01
1925.250501002004,,0.000633243,5e-06,0.00310518,5e-06,,0.01
1945.0901803607217,,0.000663761,5e-06,0.00312044,5e-06,,0.01
1964.929859719439,,0.000694279,5e-06,0.00315095,5e-06,,0.01
1984.7695390781564,,0.000724796,5e-06,0.00316621,5e-06,,0.01
2004.609218436874,,0.000755314,5e-06,0.0031891,5e-06,,0.01
2024.448897795592,,0.000785831,5e-06,0.00321199,5e-06,,0.01
2044.2885771543088,,0.00080872,5e-06,0.00322725,5e-06,,0.01
2064.128256513026,,0.000839237,5e-06,0.00325014,5e-06,,0.01
2083.967935871744,,0.000869755,5e-06,0.00327303,5e-06,,0.01
2103.807615230461,,0.000892643,5e-06,0.00328828,5e-06,,0.01
2123.6472945891783,,0.00093079,5e-06,0.00330354,5e-06,,0.01
2143.486973947896,,0.000953678,5e-06,0.00332643,5e-06,,0.01
2163.326653306613,,0.000991829,5e-06,0.00334169,5e-06,,0.01
2183.16633266533,,0.00101472,5e-06,0.00335695,5e-06,,0.01
2203.006012024048,,0.00104523,5e-06,0.00337984,5e-06,,0.01
2222.845691382766,,0.00107575,5e-06,0.00338747,5e-06,,0.01
2242.685370741483,,0.00110627,5e-06,0.00341035,5e-06,,0.01
2262.5250501002006,,0.00113679,5e-06,0.00342561,5e-06,,0.01
2282.364729458918,,0.00115968,5e-06,0.00344087,5e-06,,0.01
2302.204408817636,,0.00119019,5e-06,0.00345613,5e-06,,0.01
2322.044088176353,,0.00122071,5e-06,0.00347139,5e-06,,0.01
2341.8837675350705,,0.00125123,5e-06,0.00347902,5e-06,,0.01
2361.723446893788,,0.00128175,5e-06,0.00349428,5e-06,,0.01
2381.5631262525053,,0.00131226,5e-06,0.00350954,5e-06,,0.01
2401.4028056112224,,0.00133515,5e-06,0.0035248,5e-06,,0.01
