Frecuencia [Hz],X [V],Ruido X [V],Y [V],Ruido Y [V],Tiempo de integración [s],Escala [V]
50092.0,0.051251706666666653,2.1211473834277385e-05,0.031624063333333334,1.140457461820617e-05,0.001,0.1
50092.2,0.053524013333333335,2.13251140416396e-05,0.03161061,1.981388990918603e-05,0.001,0.1
50092.4,0.05594683666666667,1.8427397778548674e-05,0.03149386333333334,2.173572302812967e-05,0.001,0.1
50092.6,0.05853766999999999,2.0768006644837656e-05,0.03126396333333334,2.2281434474068277e-05,0.001,0.1
50092.8,0.061299376666666655,2.5421797514906503e-05,0.030879820000000002,2.1313351058276427e-05,0.001,0.1
50093.0,0.06423133,3.017651570343962e-05,0.030318056666666662,1.6836244302759828e-05,0.001,0.1
50093.2,0.06734665999999999,2.8024472638510643e-05,0.029552199999999997,1.3381056261247378e-05,0.001,0.1
50093.4,0.07064879333333335,3.1761286008108e-05,0.028540040000000003,1.1760232424007284e-05,0.001,0.1
50093.6,0.07412183666666668,3.730019198639885e-05,0.027238983333333338,8.685892137381349e-06,0.001,0.1
50093.8,0.07775647000000001,2.9083777264999815e-05,0.025588090000000004,1.7809311235043927e-05,0.001,0.1
50094.0,0.08153925333333333,2.7822266063153547e-05,0.023551306666666664,1.9560690739905465e-05,0.001,0.1
50094.2,0.08543405666666666,3.351840970107028e-05,0.021040963333333332,3.4097707482403664e-05,0.001,0.1
50094.4,0.08938811,3.421646143792878e-05,0.018002563333333336,4.343286377336382e-05,0.001,0.1
50094.6,0.09333467333333333,2.816964007974134e-05,0.014369393333333336,4.5153028199175694e-05,0.001,0.1
50094.8,0.09718815333333335,3.146462281498027e-05,0.010079870666666666,4.353058870367938e-05,0.001,0.1
50095.0,0.10081913333333332,2.699473199636501e-05,0.005105364333333334,1.1665324594236077e-05,0.001,0.2
50095.2,0.10409206666666668,4.663756235291819e-05,-0.0006141699666666668,3.736327490329091e-05,0.001,0.2
50095.4,0.10682573333333334,5.805683039535826e-05,-0.007038653,2.4100494621480146e-05,0.001,0.2
50095.6,0.1088765,6.360175574096466e-05,-0.014146483333333335,2.050161104780689e-05,0.001,0.2
50095.8,0.11003723333333332,6.880294728829305e-05,-0.02182527,3.9057983818932864e-05,0.001,0.2
50096.0,0.11016059999999998,4.655004475472255e-05,-0.029932523333333336,5.471392682753498e-05,0.001,0.2
50096.2,0.10909553333333333,3.323926727364747e-05,-0.038219699999999995,7.292739311580194e-05,0.001,0.2
50096.4,0.10680663333333333,1.57002830830834e-05,-0.04644240333333334,7.762317301482068e-05,0.001,0.2
50096.6,0.10329096666666668,3.305700463677197e-05,-0.05435560666666667,7.391300712474332e-05,0.001,0.2
50096.8,0.09864142999999999,5.830179042419363e-05,-0.061670666666666665,5.747501679473919e-05,0.001,0.1
50097.0,0.09301768333333334,6.980756445798256e-05,-0.06812397666666666,2.85745420882914e-05,0.001,0.1
50097.2,0.08664472000000001,6.827719677901392e-05,-0.07359743,1.2608308107488348e-05,0.001,0.1
50097.4,0.07978256666666667,6.672236673127038e-05,-0.07797072,2.8173396434697365e-05,0.001,0.1
50097.6,0.07265659666666666,4.931157729738066e-05,-0.08125238,4.249886586722098e-05,0.001,0.1
50097.8,0.06552261,3.467081721948168e-05,-0.08346223999999998,5.778918353233016e-05,0.001,0.1
50098.0,0.05857097666666666,1.5273608683680903e-05,-0.08468333,6.698052030254662e-05,0.001,0.1
50098.2,0.05193075000000001,1.731293832176797e-05,-0.08506543,5.581023890529975e-05,0.001,0.1
50098.4,0.04570133333333334,2.6181117029051037e-05,-0.08474525333333333,4.61791708698011e-05,0.001,0.1
50098.6,0.03996352333333333,3.6602319446845406e-05,-0.08383378333333334,2.5969457488021236e-05,0.001,0.1
50098.8,0.03470686999999999,4.1854933201872944e-05,-0.08248477666666665,2.608198207362397e-05,0.001,0.1
50099.0,0.02995517666666667,3.848454827012468e-05,-0.08078991333333334,1.783529708813723e-05,0.001,0.1
50099.2,0.025687896666666665,3.790736501291273e-05,-0.07886693333333333,2.022406707091606e-05,0.001,0.1
50099.4,0.021882143333333333,3.060002923019643e-05,-0.07676464666666666,2.301904622022487e-05,0.001,0.1
50099.6,0.018495700000000004,7.413591122615966e-06,-0.07457794333333334,2.2495491153166254e-05,0.001,0.1
50099.8,0.01549397,1.6522876061186558e-05,-0.07233719000000001,2.800753886605035e-05,0.001,0.1
50100.0,0.012839193333333335,1.2352271945768399e-05,-0.07008664,2.630491208881028e-05,0.001,0.1
50100.2,0.010496843333333334,9.360615483087875e-06,-0.06785567666666667,2.4394831192057518e-05,0.001,0.1
50100.4,0.008426726666666667,1.0376819465627302e-05,-0.06566463666666666,2.3203311305836376e-05,0.001,0.1
50100.6,0.006602002,1.3116578669759989e-05,-0.06353172,8.338241221424024e-06,0.001,0.1
50100.8,0.004994865333333333,1.495416390916669e-05,-0.061458193333333334,1.6643736225847068e-05,0.001,0.1
50101.0,0.0035709533333333336,1.6783490565301243e-05,-0.05945814666666668,1.1727282530729423e-05,0.001,0.1
50101.2,0.0023160453333333332,1.7473329912246865e-05,-0.057533749999999995,1.1169444928017624e-05,0.001,0.1
50101.4,0.0012126996666666668,1.6195129202599435e-05,-0.055686036666666654,1.0579019593305651e-05,0.001,0.1
50101.6,0.00024655799999999997,1.5743515598493244e-05,-0.05392085333333334,1.0896963899280916e-05,0.001,0.1
50101.8,-0.0006149327666666667,1.2667161020221637e-05,-0.05222561,1.3892524368642298e-05,0.001,0.1
