,Time,Value,Alert
0,820467093.832999,39.938,0.0
1,820467103.834,39.936,0.0
2,820467105.392,39.929,0.0
3,820467113.835,39.917,0.0
4,820467115.393999,39.895,0.0
5,820467122.278,39.906,0.0
6,820467123.837,39.897,0.0
7,820467129.156,39.938,0.0
8,820467130.714999,39.951,0.0
9,820467134.480999,39.981,0.0
10,820467136.039999,39.997,0.0
11,820467138.245,40.042,0.0
12,820467139.804999,40.06,0.0
13,820467141.362999,40.089,0.0
14,820467142.922999,40.134,0.0
15,820467144.481999,40.172,0.0
16,820467146.042,40.198,0.0
17,820467147.600999,40.238,0.0
18,820467149.16,40.287,0.0
19,820467150.719,40.325,0.0
20,820467152.279,40.392,0.0
21,820467153.838,40.443,0.0
22,820467155.396,40.505,0.0
23,820467156.954999,40.562,0.0
24,820467158.515,40.612,0.0
25,820467160.073999,40.669,0.0
26,820467161.633,40.741,0.0
27,820467163.192,40.787,0.0
28,820467164.752,40.853,0.0
29,820467166.310999,40.932,0.0
30,820467167.869999,40.991,0.0
31,820467169.429999,41.086,0.0
32,820467170.988999,41.145,0.0
33,820467172.548,41.247,0.0
34,820467174.109,41.325,0.0
35,820467175.668999,41.405,0.0
36,820467177.228,41.465,0.0
37,820467178.786999,41.544,0.0
38,820467180.346,41.637,0.0
39,820467181.903999,41.709,0.0
40,820467183.462,41.815,0.0
41,820467185.019999,41.885,0.0
42,820467186.578999,41.988,0.0
43,820467188.137999,42.09,0.0
44,820467189.695999,42.2,0.0
45,820467191.253999,42.293,0.0
46,820467192.813,42.386,0.0
47,820467194.371999,42.5,0.0
48,820467195.930999,42.605,0.0
49,820467197.489999,42.69,0.0
50,820467199.05,42.804,0.0
51,820467200.609,42.914,0.0
52,820467202.169,43.012,0.0
53,820467203.728,43.103,0.0
54,820467205.286999,43.208,0.0
55,820467206.847999,43.306,0.0
56,820467208.405,43.412,0.0
57,820467209.964999,43.52,0.0
58,820467211.524,43.638,0.0
59,820467213.082999,43.74,0.0
60,820467214.643,43.867,0.0
61,820467216.201999,43.969,0.0
62,820467217.761,44.083,0.0
63,820467219.32,44.202,0.0
64,820467220.878999,44.295,0.0
65,820467222.438,44.416,0.0
66,820467223.997999,44.537,0.0
67,820467225.557,44.647,0.0
68,820467227.115999,44.762,0.0
69,820467228.676,44.883,0.0
70,820467230.234999,44.987,0.0
71,820467231.795,45.093,0.0
72,820467233.353,45.212,0.0
73,820467234.914,45.33,0.0
74,820467236.472,45.479,0.0
75,820467238.031999,45.557,0.0
76,820467239.591999,45.691,0.0
77,820467241.151,45.82,0.0
78,820467242.709,45.937,0.0
79,820467244.267999,46.058,0.0
80,820467245.825999,46.168,0.0
81,820467247.384999,46.289,0.0
82,820467248.942999,46.412,0.0
83,820467250.500999,46.539,0.0
84,820467252.060999,46.652,0.0
85,820467253.619999,46.794,0.0
86,820467255.179999,46.913,0.0
87,820467256.739,47.019,0.0
88,820467258.297999,47.15,0.0
89,820467259.858,47.265,0.0
90,820467261.417,47.396,0.0
91,820467262.977,47.518,0.0
92,820467264.536,47.649,0.0
93,820467266.096,47.768,0.0
94,820467267.655,47.892,0.0
95,820467269.214999,48.007,0.0
96,820467270.774,48.14,0.0
97,820467272.332999,48.266,0.0
98,820467273.892,48.385,0.0
99,820467275.451999,48.522,0.0
100,820467277.011,48.638,0.0
101,820467278.57,48.769,0.0
102,820467280.128999,48.903,0.0
103,820467281.689999,49.031,0.0
104,820467283.249,49.15,0.0
105,820467284.807999,49.266,0.0
106,820467286.365999,49.395,0.0
107,820467287.926,49.526,0.0
108,820467289.484999,49.653,0.0
109,820467291.045,49.788,0.0
110,820467292.603999,49.911,0.0
111,820467294.162999,50.027,0.0
112,820467295.722999,50.166,0.0
113,820467297.281999,50.297,0.0
114,820467298.841,50.422,0.0
115,820467300.399,50.549,0.0
116,820467301.958,50.667,0.0
117,820467303.516,50.802,0.0
118,820467305.075,50.925,0.0
119,820467306.634,51.054,0.0
120,820467308.192,51.172,0.0
121,820467309.75,51.308,0.0
122,820467311.308999,51.447,0.0
123,820467312.868,51.565,0.0
124,820467314.426999,51.68,0.0
125,820467315.986,51.815,0.0
126,820467317.545999,51.952,0.0
127,820467319.105,52.075,0.0
128,820467320.664,52.204,0.0
129,820467322.224,52.334,0.0
130,820467323.783999,52.461,0.0
131,820467325.341999,52.583,0.0
132,820467326.902,52.707,0.0
133,820467328.460999,52.857,0.0
134,820467330.019999,52.962,0.0
135,820467331.580999,53.095,0.0
136,820467333.14,53.225,0.0
137,820467334.698999,53.362,0.0
138,820467336.259,53.49,0.0
139,820467337.819,53.61,0.0
140,820467339.377,53.747,0.0
141,820467340.936999,53.859,0.0
142,820467342.496,53.987,0.0
143,820467344.057,54.131,0.0
144,820467345.615,54.24,0.0
145,820467347.174999,54.368,0.0
146,820467348.734999,54.516,0.0
147,820467350.293999,54.638,0.0
148,820467351.853999,54.752,0.0
149,820467353.411999,54.893,0.0
150,820467354.970999,55.009,0.0
151,820467356.530999,55.148,0.0
