,Time,Value,Alert
0,820467092.854999,41.029,0.0
1,820467102.856,41.783,0.0
2,820467104.414,42.134,0.0
3,820467112.856999,44.651,0.0
4,820467114.414999,45.198,0.0
5,820467121.3,47.626,0.0
6,820467122.859,48.164,0.0
7,820467128.178,50.012,0.0
8,820467129.737,50.544,0.0
9,820467133.503,51.835,0.0
10,820467135.061999,52.356,0.0
11,820467137.266999,53.089,0.0
12,820467138.827999,53.583,0.0
13,820467140.385,54.076,0.0
14,820467141.945,54.592,0.0
15,820467143.504999,55.053,0.0
16,820467145.064,55.576,0.0
17,820467146.623,56.026,0.0
18,820467148.181999,56.512,0.0
19,820467149.740999,57.013,0.0
20,820467151.300999,57.471,0.0
21,820467152.859999,57.945,0.0
22,820467154.417999,58.409,0.0
23,820467155.976999,58.875,0.0
24,820467157.536999,59.326,0.0
25,820467159.095999,59.755,0.0
26,820467160.655,60.219,0.0
27,820467162.213999,60.652,0.0
28,820467163.774,61.056,0.0
29,820467165.332999,61.509,0.0
30,820467166.892,61.943,0.0
31,820467168.451999,62.356,0.0
32,820467170.011,62.811,0.0
33,820467171.57,63.216,0.0
34,820467173.131,63.648,0.0
35,820467174.691,64.064,0.0
36,820467176.25,64.459,0.0
37,820467177.808999,64.838,0.0
38,820467179.368,65.238,0.0
39,820467180.926,65.653,0.0
40,820467182.484,66.017,0.0
41,820467184.041999,66.424,0.0
42,820467185.601,66.826,0.0
43,820467187.158999,67.22,0.0
44,820467188.718,67.596,0.0
45,820467190.275999,67.99,0.0
46,820467191.835,68.394,0.0
47,820467193.394,68.767,0.0
48,820467194.952999,69.144,0.0
49,820467196.512,69.53,0.0
50,820467198.071999,69.874,0.0
51,820467199.631,70.258,0.0
52,820467201.190999,70.612,0.0
53,820467202.75,70.977,0.0
54,820467204.309,71.326,0.0
55,820467205.87,71.67,0.0
56,820467207.426999,72.024,0.0
57,820467208.986999,72.365,0.0
58,820467210.545999,72.703,0.0
59,820467212.104999,73.057,0.0
60,820467213.664999,73.397,0.0
61,820467215.223999,73.753,0.0
62,820467216.783,74.08,0.0
63,820467218.341999,74.445,0.0
64,820467219.901,74.759,0.0
65,820467221.46,75.097,0.0
66,820467223.02,75.418,0.0
67,820467224.579,75.737,0.0
68,820467226.137999,76.062,0.0
69,820467227.698,76.384,0.0
70,820467229.256999,76.7,0.0
71,820467230.817,77.016,0.0
72,820467232.375,77.333,0.0
73,820467233.935,77.63,0.0
74,820467235.493999,77.974,0.0
75,820467237.054,78.274,0.0
76,820467238.613999,78.585,0.0
77,820467240.173,78.877,0.0
78,820467241.732,79.183,0.0
79,820467243.29,79.472,0.0
80,820467244.847999,79.791,0.0
81,820467246.407,80.078,0.0
82,820467247.964999,80.395,0.0
83,820467249.522999,80.698,0.0
84,820467251.083,80.977,0.0
85,820467252.641999,81.255,0.0
86,820467254.201999,81.561,0.0
87,820467255.760999,81.856,0.0
88,820467257.32,82.132,0.0
89,820467258.879999,82.408,0.0
90,820467260.439,82.709,0.0
91,820467261.998999,83.009,0.0
92,820467263.557999,83.266,0.0
93,820467265.118999,83.567,0.0
94,820467266.676999,83.832,0.0
95,820467268.236999,84.132,0.0
96,820467269.795999,84.382,0.0
97,820467271.355,84.658,0.0
98,820467272.914,84.934,0.0
99,820467274.473999,85.202,0.0
100,820467276.033,85.484,0.0
101,820467277.591999,85.773,0.0
102,820467279.151,86.007,0.0
103,820467280.710999,86.295,0.0
104,820467282.27,86.548,0.0
105,820467283.829999,86.819,0.0
106,820467285.387999,87.088,0.0
107,820467286.948,87.344,0.0
108,820467288.506999,87.591,0.0
109,820467290.067,87.857,0.0
110,820467291.625999,88.132,0.0
111,820467293.185,88.376,0.0
112,820467294.744999,88.642,0.0
113,820467296.304,88.898,0.0
114,820467297.862999,89.137,0.0
115,820467299.420999,89.398,0.0
116,820467300.98,89.64,0.0
117,820467302.537999,89.901,0.0
118,820467304.097,90.154,0.0
119,820467305.655999,90.401,0.0
120,820467307.214,90.643,0.0
121,820467308.772,90.888,0.0
122,820467310.330999,91.132,0.0
123,820467311.89,91.374,0.0
124,820467313.448999,91.619,0.0
125,820467315.007999,91.883,0.0
126,820467316.568,92.122,0.0
