Frecuencia [Hz],X [V],Ruido X [V],Y [V],Ruido Y [V],Tiempo de integración [s],Escala [V]
40000,0.6911050000000001,1.1102230246251565e-16,0.058579766666666665,3.408487771562095e-05,0,1
40100,0.6911659999999998,2.220446049250313e-16,0.0569155,3.432661746613859e-05,0,1
40200,0.6909768999999999,1.8299999999993323e-05,0.05932029666666666,3.286745587287733e-05,0,1
40300,0.6908609999999998,3.3306690738754696e-16,0.06060810666666666,2.7294943772712623e-05,0,1
40400,0.6911456666666667,2.8755675768242435e-05,0.05809756666666666,2.603937189889532e-05,0,1
40500,0.6911476999999999,2.795371173922042e-05,0.058044686666666664,3.152609219184783e-05,0,1
40600,0.6908589666666665,1.0949835107836163e-05,0.061118809999999996,4.014535548063463e-05,0,1
40700,0.6909159,1.8300000000026628e-05,0.06044944333333333,3.382722457167096e-05,0,1
40800,0.6911659999999998,2.220446049250313e-16,0.05828269666666667,3.286745587287731e-05,0,1
40900,0.6909829999999999,2.220446049250313e-16,0.059763863333333334,4.479390199073416e-05,0,1
41000,0.6907979666666667,1.0949835107836161e-05,0.061948873333333335,4.853219504159636e-05,0,1
41100,0.6909809666666665,1.0949835107836161e-05,0.06015240999999999,6.44619957804598e-05,0,1
41200,0.6911050000000001,1.1102230246251565e-16,0.05871812666666666,2.483693396715633e-05,0,1
41300,0.6908630333333332,1.0949835107856092e-05,0.06150131000000001,8.111205561854927e-05,0,1
41400,0.6907715333333333,3.0432146745750282e-05,0.06242699666666667,4.566514705500794e-05,0,1
41500,0.6909829999999999,2.220446049250313e-16,0.059997796666666665,2.7294938277189783e-05,0,1
41600,0.6910135,3.049999999998887e-05,0.05975979666666667,2.415376414189324e-05,0,1
41700,0.6907572999999999,2.7953711739220422e-05,0.06264490333333333,4.858207819991328e-05,0,1
41800,0.6907410333333333,1.0949835107836161e-05,0.06274052999999999,2.1917620765037427e-05,0,1
41900,0.6909240333333334,1.0949835107836161e-05,0.06032333,3.279478769560744e-05,0,1
42000,0.6909240333333334,1.0949835107836161e-05,0.060589816666666664,5.0208844395738916e-05,0,1
42100,0.6906393666666666,2.939555899941789e-05,0.06353402999999999,3.499983952344291e-05,0,1
42200,0.6906841,3.284950532350849e-05,0.06316375333333334,3.046199526550429e-05,0,1
42300,0.6908630333333332,1.0949835107856089e-05,0.06084009666666666,2.9054414275439623e-05,0,1
42400,0.6908609999999998,3.3306690738754696e-16,0.061637566666666664,2.6039371898892964e-05,0,1
42500,0.690556,2.220446049250313e-16,0.06445563,4.011898262252946e-05,0,1
42600,0.6906149666666667,1.094983510785609e-05,0.06371912333333334,5.56939115962319e-05,0,1
42700,0.6908548999999998,1.8299999999993323e-05,0.061480936666666666,3.909915159636554e-05,0,1
42800,0.6908,1.1102230246251565e-16,0.06226220333333333,5.069408567300696e-05,0,1
42900,0.690556,2.220446049250313e-16,0.06502123666666668,4.769246260038135e-05,0,1
43000,0.6906576666666666,2.875567576824244e-05,0.06450447333333334,6.88450043374423e-05,0,1
43100,0.6908,1.1102230246251565e-16,0.06219509666666667,1.576304715324913e-05,0,1
43200,0.6907959333333333,1.5216073372875145e-05,0.06268561666666667,4.311466945509535e-05,0,1
43300,0.6904523,2.795371173922042e-05,0.06568446333333333,5.476093792314057e-05,0,1
43400,0.6904787333333332,2.6975214961547404e-05,0.06552373,4.088209999498787e-05,0,1
43500,0.6907125666666666,3.0227673119536598e-05,0.06315764666666666,3.026534578615757e-05,0,1
43600,0.6906698666666667,3.7712715215002105e-05,0.06319220666666667,8.678169136145826e-05,0,1
43700,0.6904071333333331,3.0723208744461465e-05,0.06597949666666666,2.7294938277189783e-05,0,1
43800,0.6903802666666666,2.1075947322852386e-05,0.06648405666666665,5.882501555933276e-05,0,1
43900,0.690556,2.220446049250313e-16,0.06419729000000002,5.5500068168127495e-05,0,1
44000,0.6906414,2.988377486194387e-05,0.06345259666666667,5.809972164783321e-05,0,1
44100,0.6904319333333332,1.1129340601412473e-05,0.06590416666666667,3.0227673119548704e-05,0,1
44200,0.6902499999999998,1.1102230246251565e-16,0.06750539666666665,2.7294938277189783e-05,0,1
